2025-07-23 23:35:25 | DEBUG    | superclaude | SuperClaude called with operation: install
2025-07-23 23:35:25 | DEBUG    | superclaude | Arguments: {'verbose': False, 'quiet': False, 'install_dir': PosixPath('/Users/oozoofrog/.claude'), 'dry_run': False, 'force': False, 'yes': False, 'operation': 'install', 'quick': False, 'minimal': False, 'profile': None, 'components': None, 'no_backup': False, 'list_components': False, 'diagnose': False}
2025-07-23 23:35:25 | INFO     | superclaude | Executing operation: install
2025-07-23 23:35:25 | INFO     | superclaude | Starting install operation
2025-07-23 23:35:25 | INFO     | superclaude.security | [ALLOW] Claude directory installation validated: /Users/oozoofrog/.claude (PID: 4468)
2025-07-23 23:35:25 | INFO     | superclaude | Initializing installation system...
2025-07-23 23:35:25 | DEBUG    | superclaude | Discovered 0 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Hooks
2025-07-23 23:35:25 | DEBUG    | superclaude | Discovered 9 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Core
2025-07-23 23:35:25 | DEBUG    | superclaude | Files found: ['CLAUDE.md', 'COMMANDS.md', 'FLAGS.md', 'MCP.md', 'MODES.md', 'ORCHESTRATOR.md', 'PERSONAS.md', 'PRINCIPLES.md', 'RULES.md']
2025-07-23 23:35:25 | DEBUG    | superclaude | Discovered 17 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Commands
2025-07-23 23:35:25 | DEBUG    | superclaude | Files found: ['analyze.md', 'build.md', 'cleanup.md', 'design.md', 'document.md', 'estimate.md', 'explain.md', 'git.md', 'implement.md', 'improve.md', 'index.md', 'load.md', 'spawn.md', 'task.md', 'test.md', 'troubleshoot.md', 'workflow.md']
2025-07-23 23:35:32 | INFO     | superclaude | Validating system requirements...
2025-07-23 23:35:32 | INFO     | superclaude | All system requirements met
2025-07-23 23:35:32 | WARNING  | superclaude | Installation directory already exists: /Users/oozoofrog/.claude
2025-07-23 23:35:37 | DEBUG    | superclaude | Discovered 9 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Core
2025-07-23 23:35:37 | DEBUG    | superclaude | Files found: ['CLAUDE.md', 'COMMANDS.md', 'FLAGS.md', 'MCP.md', 'MODES.md', 'ORCHESTRATOR.md', 'PERSONAS.md', 'PRINCIPLES.md', 'RULES.md']
2025-07-23 23:35:37 | DEBUG    | superclaude | Discovered 0 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Hooks
2025-07-23 23:35:37 | DEBUG    | superclaude | Discovered 17 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Commands
2025-07-23 23:35:37 | DEBUG    | superclaude | Files found: ['analyze.md', 'build.md', 'cleanup.md', 'design.md', 'document.md', 'estimate.md', 'explain.md', 'git.md', 'implement.md', 'improve.md', 'index.md', 'load.md', 'spawn.md', 'task.md', 'test.md', 'troubleshoot.md', 'workflow.md']
2025-07-23 23:35:42 | DEBUG    | superclaude | Discovered 0 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Hooks
2025-07-23 23:35:42 | DEBUG    | superclaude | Discovered 9 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Core
2025-07-23 23:35:42 | DEBUG    | superclaude | Files found: ['CLAUDE.md', 'COMMANDS.md', 'FLAGS.md', 'MCP.md', 'MODES.md', 'ORCHESTRATOR.md', 'PERSONAS.md', 'PRINCIPLES.md', 'RULES.md']
2025-07-23 23:35:42 | DEBUG    | superclaude | Discovered 17 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Commands
2025-07-23 23:35:42 | DEBUG    | superclaude | Files found: ['analyze.md', 'build.md', 'cleanup.md', 'design.md', 'document.md', 'estimate.md', 'explain.md', 'git.md', 'implement.md', 'improve.md', 'index.md', 'load.md', 'spawn.md', 'task.md', 'test.md', 'troubleshoot.md', 'workflow.md']
2025-07-23 23:35:42 | DEBUG    | superclaude | Discovered 0 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Hooks
2025-07-23 23:35:42 | DEBUG    | superclaude | Discovered 9 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Core
2025-07-23 23:35:42 | DEBUG    | superclaude | Files found: ['CLAUDE.md', 'COMMANDS.md', 'FLAGS.md', 'MCP.md', 'MODES.md', 'ORCHESTRATOR.md', 'PERSONAS.md', 'PRINCIPLES.md', 'RULES.md']
2025-07-23 23:35:42 | DEBUG    | superclaude | Discovered 17 .md files in /Users/oozoofrog/SuperClaude_Framework/SuperClaude/Commands
2025-07-23 23:35:42 | DEBUG    | superclaude | Files found: ['analyze.md', 'build.md', 'cleanup.md', 'design.md', 'document.md', 'estimate.md', 'explain.md', 'git.md', 'implement.md', 'improve.md', 'index.md', 'load.md', 'spawn.md', 'task.md', 'test.md', 'troubleshoot.md', 'workflow.md']
2025-07-23 23:35:42 | INFO     | superclaude | Installing 4 components...
2025-07-23 23:35:42 | INFO     | superclaude.security | [ALLOW] Claude directory installation validated: /Users/oozoofrog/.claude (PID: 4468)
2025-07-23 23:35:42 | INFO     | superclaude | Installing SuperClaude core framework files...
2025-07-23 23:35:42 | INFO     | superclaude.security | [ALLOW] Claude directory installation validated: /Users/oozoofrog/.claude (PID: 4468)
2025-07-23 23:35:42 | DEBUG    | superclaude | Copying CLAUDE.md to /Users/oozoofrog/.claude/CLAUDE.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Successfully copied CLAUDE.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Copying COMMANDS.md to /Users/oozoofrog/.claude/COMMANDS.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Successfully copied COMMANDS.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Copying FLAGS.md to /Users/oozoofrog/.claude/FLAGS.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Successfully copied FLAGS.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Copying MCP.md to /Users/oozoofrog/.claude/MCP.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Successfully copied MCP.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Copying MODES.md to /Users/oozoofrog/.claude/MODES.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Successfully copied MODES.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Copying ORCHESTRATOR.md to /Users/oozoofrog/.claude/ORCHESTRATOR.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Successfully copied ORCHESTRATOR.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Copying PERSONAS.md to /Users/oozoofrog/.claude/PERSONAS.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Successfully copied PERSONAS.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Copying PRINCIPLES.md to /Users/oozoofrog/.claude/PRINCIPLES.md
2025-07-23 23:35:42 | DEBUG    | superclaude | Successfully copied PRINCIPLES.md
